[2026-03-20 01:17:15] [AUDIT] Audit log record | Context: {"user_id":1,"action":"CREATE","entity":"usuarios","entity_id":"2","changes":"\"Usuario creado: jcvenero@gmail.com\"","ip":"127.0.0.1"}
[2026-03-20 01:17:54] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"usuarios","entity_id":1,"changes":"\"Usuario actualizado: admin@hotel.com\"","ip":"127.0.0.1"}
[2026-03-20 01:31:22] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:33:01] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:33:48] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:34:25] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:34:32] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:40:30] [AUDIT] Audit log record | Context: {"user_id":2,"action":"CREATE","entity":"usuarios","entity_id":"3","changes":"\"Usuario creado: luzhotel@hotel.com\"","ip":"127.0.0.1"}
[2026-03-20 01:41:01] [AUDIT] Audit log record | Context: {"user_id":2,"action":"CREATE","entity":"usuarios","entity_id":"4","changes":"\"Usuario creado: yenihotel@hotel.com\"","ip":"127.0.0.1"}
[2026-03-20 01:49:17] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:52:33] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:53:02] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:59:10] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 01:59:28] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:00:18] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:00:38] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:14:08] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:35:16] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:38:01] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:38:09] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:39:01] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:39:21] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 02:50:00] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 03:29:39] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
[2026-03-20 03:29:47] [AUDIT] Audit log record | Context: {"user_id":2,"action":"UPDATE","entity":"sitio_ajustes","entity_id":0,"changes":"\"Ajustes globales actualizados\"","ip":"127.0.0.1"}
